type,topn,rotations,Labelled-data-count,Labelled-data,Train-affordance,Train-entropy,Train-expected-distance-0.1-max,Train-expected-distance-0.2-max,Train-expected-distance,Train-loss,Train-ranking,Train-success-rate,Train-top-5,Val-affordance,Val-entropy,Val-expected-distance-0.1-max,Val-expected-distance-0.2-max,Val-expected-distance,Val-loss,Val-ranking,Val-success-rate,Val-top-5-success-rate
teacher,1,8,20,0.01,0.001699,58.98,0.0345,0.05382,0.1951,6.044,0.007999,0.6335,0.9462,0.0006334,59.71,0.04589,0.08209,0.2663,7.987,0.089,0.5556,0.8774
teacher,1,8,40,0.02,0.001999,60.23,0.03551,0.05497,0.1948,6.446,0.02075,0.722,0.9656,0.0007038,61.77,0.04291,0.07702,0.2606,7.265,0.05261,0.6204,0.9143
teacher,1,8,100,0.05,0.002103,55.62,0.03446,0.05377,0.1745,5.581,0.02574,0.7227,0.9413,0.0009405,56.54,0.04142,0.06901,0.2356,7.111,0.03718,0.6333,0.9205
teacher,1,8,200,0.1,0.001756,58.9,0.03639,0.05762,0.2045,5.854,0.03231,0.7147,0.9545,0.0009871,59.31,0.04064,0.0661,0.2373,6.719,0.03382,0.6747,0.9372
teacher,1,8,400,0.2,0.001575,59.15,0.03657,0.05897,0.2062,5.788,0.0294,0.7077,0.9547,0.0010525,59.35,0.04021,0.06552,0.2251,6.55,0.03324,0.702,0.9479
teacher,1,8,1000,0.5,0.001861,57.63,0.03591,0.0567,0.205,5.525,0.02779,0.7799,0.9639,0.0010956,59.01,0.03873,0.06146,0.2238,6.387,0.02887,0.7109,0.9608
teacher,1,8,2000,1,0.001763,57.51,0.03658,0.05772,0.2136,5.561,0.02171,0.8139,0.9678,0.0011355,59.99,0.03797,0.05865,0.2177,6.162,0.02553,0.724,0.9631
student,1,16,20,0.01,0.31,0.08702,0.008263,0.01128,0.04819,1.946,0.0001574,0.614,0.8489,0.275,0.1981,0.008167,0.01121,0.05139,2.177,0.0001189,0.5813,0.8347
student,1,16,40,0.02,0.2763,0.07502,0.008855,0.01203,0.05036,2.118,0.0001788,0.7054,0.8875,0.2471,0.2274,0.00871,0.01206,0.05175,2.334,0.0003344,0.6825,0.8817
student,1,16,100,0.05,0.2761,0.1729,0.008323,0.01021,0.0391,2.142,0.0001632,0.7748,0.9094,0.2619,0.4892,0.008261,0.01052,0.04229,2.289,0.0001155,0.7445,0.8966
student,1,16,200,0.1,0.2902,0.1934,0.007877,0.009175,0.03407,2.014,0.00008921,0.8151,0.9287,0.266,0.3966,0.007719,0.00861,0.03185,2.341,0.00009563,0.7562,0.9179
student,1,16,400,0.2,0.2885,0.208,0.007884,0.009259,0.02935,2.049,0.0002157,0.8754,0.954,0.2882,0.9274,0.007589,0.008976,0.03251,2.135,0.0001105,0.8545,0.9502
student,1,16,1000,0.5,0.3037,0.27,0.007384,0.008524,0.03272,1.95,0.00006924,0.8736,0.954,0.2851,0.4533,0.007054,0.008132,0.03271,2.114,0.00006011,0.8326,0.9498
student,1,16,2000,1,0.3688,0.2221,0.006873,0.007715,0.02364,1.702,0.0001494,0.8942,0.9619,0.3441,0.5482,0.006564,0.007506,0.02598,1.93,0.0001717,0.8516,0.9545
student-angle-ablation,1,1,2000,1,0.2142,0.4218,0.009437,0.01489,0.07965,2.51,0.0002189,0.7608,0.9176,0.1232,2.1088,0.00937,0.0158,0.0912,4.94,0.001061,0.5833,0.8887
student-angle-ablation,1,2,2000,1,0.2158,0.8459,0.008819,0.01252,0.06645,2.508,0.0002376,0.786,0.9303,0.1549,2.3988,0.008657,0.01289,0.06727,3.056,0.000284,0.682,0.9238
student-angle-ablation,1,4,2000,1,0.2661,0.3751,0.008067,0.01005,0.04431,2.189,0.0002012,0.8362,0.9465,0.2191,0.6591,0.007744,0.00977,0.04554,2.6608,0.0001361,0.7353,0.9349
student-angle-ablation,1,8,2000,1,0.32081,0.2804,0.007437,0.008797,0.03121,1.9047,0.0002345,0.8756,0.9555,0.2822,1.492,0.007373,0.008617,0.03103,2.311,0.0001698,0.8109,0.946
student-angle-ablation,1,16,2000,1,0.3688,0.2221,0.006873,0.007715,0.02364,1.702,0.0001494,0.8942,0.9619,0.3441,0.5482,0.006564,0.007506,0.02598,1.93,0.0001717,0.8516,0.9545
student-angle-ablation,1,32,2000,1,0.4013,0.213,0.006638,0.007325,0.2025,1.591,0.000163,0.9034,0.9623,0.38707,0.7331,0.006463,0.00696,0.0206,1.655,0.0001307,0.8858,0.9583
student-angle-ablation,1,64,2000,1,0.429,0.2034,0.006325,0.006977,0.01722,1.479,0.0001092,0.9079,0.9663,0.4192,0.7897,0.006126,0.006829,0.01824,1.5833,0.0001,0.8865,0.9593
student-topn-ablation,1,16,2000,1,0.3688,0.2221,0.006873,0.007715,0.02364,1.702,0.0001494,0.8942,0.9619,0.3441,0.5482,0.006564,0.007506,0.02598,1.93,0.0001717,0.8516,0.9545
student-topn-ablation,2,16,2000,1,0.38,0.00104,0.007078,0.008062,0.02685,1.733,0.000273,0.8926,0.9634,0.3146,0.01021,0.006945,0.008,0.03155,2.138,0.0001755,0.8339,0.9593
student-topn-ablation,3,16,2000,1,0.2817,0.24434,0.009494,0.01179,0.05029,2.265853,0.000272,0.8659,0.9606,0.1812,0.01773,0.01047,0.01359,0.05609,2.8847,0.0003044,0.7288,0.955421
student-topn-ablation,4,16,2000,1,0.2442,0.0000001157,0.01109,0.01446,0.06799,2.5398,0.0002232,0.8488,0.9614,0.1222,0.0000565,0.01318,0.01711,0.08226,3.333,0.0003146,0.6792,0.5817
student-topn-ablation,5,16,2000,1,,,,,,,,,,,,,,,,,,
